Как обычно спрашивает клиент,Услуга в Vetmanager (точное название),Тип визита,Тип врача
чистка зубов собаке,"Санация ротовой полости собака до 5 кг / 5–10 кг / 10–20 кг / 20–40 кг",Плановая,Стоматолог
чистка зубов кошке,Санация ротовой полости кошка,Плановая,Стоматолог
ультразвуковая чистка зубов,Санация ротовой полости (соответствующая весовая категория),Плановая,Стоматолог
чистка зубов под наркозом,Санация ротовой полости (соответствующая весовая категория),Плановая,Стоматолог
удалить зуб собаке,Санация ротовой полости с удалением зубов,Плановая,Стоматолог
стерилизация суки,Овариогистероэктомия суки (по весу),Плановая,Хирург
стерилизация суки 15 кг,Овариогистероэктомия суки 10–20 кг,Плановая,Хирург
стерилизация кошки,Овариогистероэктомия кошки,Плановая,Хирург
кастрация кота,Кастрация кота,Плановая,Хирург
кастрация кобеля,Кастрация кобеля (по весу),Плановая,Хирург
удалить опухоль,Хирургическое удаление новообразования,Плановая,Хирург
узи живота собаке,УЗИ брюшной полости и забрюшинного пространства,"«Болеет» / плановая",Врач УЗИ
узи живота коту,УЗИ брюшной полости и забрюшинного пространства,"«Болеет» / плановая",Врач УЗИ
узи матки собаке,УЗИ органов брюшной полости,«Болеет»,Врач УЗИ
узи грудной клетки,УЗИ грудной полости,«Болеет»,Врач УЗИ
узи сердца,ЭХО-кардиография,"«Болеет» / скрининг",Кардиолог
эхо сердца,ЭХО-кардиография,"«Болеет» / скрининг",Кардиолог
кардиолог,Консультация кардиолога,«Болеет»,Кардиолог
рентген лапы,Рентгенография конечности,«Болеет»,Терапевт
рентген грудной клетки,Рентгенография грудной клетки,«Болеет»,Терапевт
сделать снимок,Рентгенография (уточняется зона),«Болеет»,Терапевт
анализ крови,"Общеклинический анализ крови / Биохимический анализ крови",«Болеет»,Терапевт
сдать кровь,Общеклинический анализ крови,«Болеет»,Терапевт
биохимия,Биохимический анализ крови,«Болеет»,Терапевт
анализы перед операцией,Предоперационный профиль (ОАК + БАК),Плановая,Терапевт
прививка собаке,"Вакцинация собак (Мультикан / Биокан)",Плановая,Терапевт
прививка от бешенства,"Вакцинация против бешенства (Рабикс / Рабифел)",Плановая,Терапевт
комплексная прививка,Вакцинация комплексная,Плановая,Терапевт
ревакцинация,Ревакцинация,Плановая,Терапевт
подстричь когти,Стрижка когтей,Плановая,"Ассистент / Терапевт"
плохо ест,Первичный приём терапевта,«Болеет»,Терапевт
"рвота, понос",Первичный приём терапевта,«Болеет»,Терапевт
хромает,Первичный приём терапевта,«Болеет»,Терапевт
не знаю к какому врачу,Первичный приём терапевта,«Болеет»,Терапевт
