Вопрос,Ответ
Можно ли приехать на прием или надо записаться?,"По живой очереди можно в любой день с 9 до 21ч, кроме второго вторника каждого месяца, во второй вторник с 14 до 21. Есть прием по записи."
Можно ли приехать на вакцинацию или надо записаться?,"По живой очереди можно в любой день с 9 до 21ч, кроме второго вторника каждого месяца, во второй вторник с 14 до 21. Можно приехать по записи, когда удобно или могу предложить…"
Мы записаны к/на…..можно или отменить или перенести?,"Напишите, пожалуйста ФИО того на кого оформлена карта, вид и кличку питомца, дату записи и наименование процедуры/операции"
Какой график работы,"С 9 до 21ч, кроме второго вторника каждого месяца, во второй вторник с 14 до 21."
Сколько стоит прием/вакцинация/ УЗИ/рентген/анализ крови/кастрация/стерилизация?,Прием врача широкого профиля 1700 руб. Ведущего врача 2700 руб. Вакцинация 3000-4000 руб. УЗИ 1200-2500 руб. Рентген 1500-5100 руб. Анализ крови 3200 руб. Кастрация 4300-20100 руб. Стерилизация 6700-31900 руб.
Можно ли оплатить картой?,"Обычно терминал исправен, но лучше взять с собой наличные."
Можно ли спросить ФИО доктора и какой-то вопрос?,"Напишите, пожалуйста свои вопрос, я передам доктору. Ответ пришлем в вотсап."
Когда принимает ФИО врача?,"У вас будет первичный или повторный приме? Напишите, пожалуйста, ФИО того на кого оформлена карта, вид и кличку питомца и проблему с которой приедете кратко."
Можно ли сделать уколы не чужим назначениям?,"Были ли вы у нас ранее? Напишите, пожалуйста, ФИО того на кого оформлена карта, вид и кличку питомца и все препараты и их дозы которые нужно будет ввести. Если у нас есть эти препараты – мы проведем процедуру."
Есть ли у нас стационар?,На данный момент только дневной с 9 до 21ч для стабильных пациентов и пациентов средней тяжести.
Можно ли сделать паспорт животному?,"Да, обычно это делается при вакцинации, стоимость оформления паспорта 200 руб."
Делаете ли вы чипирование?,"Да, делаем. Стоимость 3100 руб. Данные вносятся в базу."
Есть ли специалист по птицам/рептилиям/хорькам/лисам/енотам?,"На данный момент нет. Ближайшая к Звенигороду клиника где есть нужный вам специалист находится в Красногоске, клиника «Кобра», телефоны клиники +7 (495) 545-01-67 , +7 (925) 446-40-65"
Записаться на груминг можно ли сколько стоит?,"Запись на груминг происходит через лист ожидания. Напишите, пожалуйста, ФИО того на кого оформлена карта, вид, породу, кличку питомца и телефон."
Выезжаете ли вы на дом?,"Да, выезжаем на вакцинации, забор анализов, эвтаназию. Вызов будет произведен в течении нескольких дней, экстренного и срочного выезда у нас нет."
Сколько стоит почистить зубы собаке?,"Чистку зубов поводит стоматолог. Порядок такой: сначала записываетесь на прием, обсуждаете с доктором возможный объем вмешательства. Стоимость приема 2500 руб."
"Можно ли записать кошку/кота, собаку на стерилизацию кастрацию?","Да, можно. Напишите, пожалуйста, возраст, породу, кличку питомца, есть ли беременность или патология?"
Будет ли скидка?,"У нас есть дни, когда действуют специальные условия. День кошек, он обычно проходят в начале марта и день собак, он проходит в июне. Мы проводим розыгрыши и конкурсы в соцсетях."
Выезд на дом,"Выезд на дом. Мы выезжаем на вакцинацию,  эвтаназии, взятие анализов некоторые процедуры. Стоимость на вакцинацию и эвтаназии фиксированная, остальное через оператора"
Как прошла операция?,"Операции еще идут, как только врач выйдет из операционной и даст информацию когда забирать мы с вами свяжемся, все идет в штатном режиме"
Как прошла операция,"Операции еще идут, как только врач выйдет из операционной и даст информацию когда забирать мы с вами свяжемся, все идет в штатном режиме"
Когда забирать после операции?,"Операции еще идут, как только врач выйдет из операционной и даст информацию когда забирать мы с вами свяжемся, все идет в штатном режиме"
Статус операции,"Операции еще идут, как только врач выйдет из операционной и даст информацию когда забирать мы с вами свяжемся, все идет в штатном режиме"
